	GSM2810793	GSM2810794	GSM2810795	GSM2810796	GSM2810797	GSM2810798	GSM2810799	GSM2810800	GSM2810801	GSM2810802	GSM2810803	GSM2810804	GSM2810805	GSM2810806	GSM2810807	GSM2810808	GSM2810809	GSM2810810	GSM2810816	GSM2810817	GSM2810818	GSM2810819	GSM2810820	GSM2810821	GSM2810822	GSM2810823	GSM2810824	GSM2810825	GSM2810826	GSM2810827	GSM2810828	GSM2810829	GSM2810830	GSM2810831	GSM2810832	GSM2810833	GSM2810834	GSM2810835	GSM2810836	GSM2810837
AKT3	8.32878086475781	8.23581187434699	8.29249301739117	8.23428846579219	8.05336835215133	8.09642032917133	8.07717107872035	8.21568154023745	8.36121826519078	8.23051965589331	8.3282654365965	8.3635636347681	8.34987144625442	8.15978318271247	8.36383276347027	7.95401807320159	8.20762598099394	8.13172605340574	8.59772280548171	8.34660607058316	8.86109098548032	8.31152492931282	8.31124996728257	8.49525835276889	8.23192310906777	8.14225540431448	8.38203761929605	8.36382283617675	8.51427495633362	8.23373899843239	8.41435039542455	8.56044366800948	8.65631803795314	8.18884588339973	8.39073376166711	8.32892456114645	8.43105588562053	8.32987513616955	8.40523374170869	8.38133262275046
MED6	6.02774101657414	6.37007576831502	6.04163031058466	6.34163231673779	6.19736313052541	5.8826927226707	6.09919982057467	6.11852620920709	5.54397744539389	6.04003999995234	6.01473463193831	5.99360390989234	6.06444939549584	5.95859788386985	6.36513672643061	6.16214697936943	5.91529803390768	6.15614867823975	6.18412719556646	6.43629509758308	5.65008820526504	6.21890058341606	6.63155137418469	6.58694220739841	6.2957143843065	6.46952837692687	6.49784370670449	6.38288415815009	6.21788178783947	6.26972632879724	5.94887713646423	5.96488319269578	6.46340165592412	5.69386713561302	6.21416456745071	6.2253354572539	6.05028267057103	5.96762772573415	6.06572437651844	5.93212537162569
NR2E3	5.06506968419016	5.22551194104403	5.16554785700415	5.04870134508618	5.17731567286258	5.26950012404873	5.30093288141752	4.95938338982312	5.07600797214034	5.22302489983288	5.30757382491023	5.13025807178605	4.97634357392981	5.1268074962482	5.12615454370671	5.23313627905091	5.16725138834109	5.29854640597901	4.77944199761232	4.9595336177267	4.6817503665837	4.97417029463399	4.99381153432988	4.95447345729799	4.90269247533118	4.89246546681226	4.96018990222341	4.96629956095426	4.75122039620396	4.90527278895795	4.81330929070736	4.62720022264201	4.86263753363908	5.08273646615574	4.93285494579076	5.09305455179538	4.70058623664376	4.94038052383189	4.8378386555808	4.71419255133304
NAALAD2	4.61501663345471	4.86668207169593	4.31467992428013	4.34799868373062	5.06339481877449	4.96150832969779	4.72934629010833	4.30886550912849	4.36917782390684	4.51083803072977	4.78081422474515	4.68334272726286	4.39520339242527	4.61841491130027	5.23062090576285	5.17317643186652	4.86308563353191	4.71079676127576	4.65810909550684	4.3080470380172	4.26427101699334	4.48270324212198	4.80841298137636	4.51913439658483	4.75630539778358	4.54719321167841	4.30737113502509	4.36664176506615	4.27629931888441	4.65083365200306	4.38977048445683	4.30233455428226	4.05875721483533	4.76807993278178	4.5543043800276	5.00157177584249	4.1809587206694	4.87208036227223	4.46113034947162	4.38526539640035
CDKN2B-AS1	5.37668981864594	5.62328384912025	5.49157025227501	5.66555144814542	5.5161381664156	5.60181990668755	5.60123780318011	5.74684184953892	5.76245831377956	5.55307317031148	5.58542413659337	5.78513143125003	5.80839804668351	5.59636844105657	5.55308422700026	5.66331076579122	5.54006249605218	5.39857511934169	5.35866695728995	5.33532403950425	5.37526316017843	5.50731914971711	5.44802484560384	5.22432922256522	5.47968637554877	5.46630600963823	5.46132438035436	5.59932595140875	5.55842060363944	5.44221634315362	5.70992957911531	5.63941305496905	5.51279304627543	5.73221610150521	5.61133558298807	5.63193019761896	5.6384617589518	5.75795462053658	5.71949942309744	5.76053976640627
NAALADL1	6.45014884853537	6.38711124705308	5.97936906684524	6.35359168455857	6.14331379534249	5.98583836499768	6.34645428317956	6.39991735257387	6.28428995663363	6.11790013313851	5.92753390890614	6.49432301244339	6.03283961132367	6.38896803338201	6.18301073249206	5.98327299519846	6.18725214442548	5.94977922737257	6.52016201915068	6.34335596867379	6.47949201272909	6.59707412028574	6.26528165545697	6.44106593893327	6.45950177532773	6.69421076583256	6.08545012617913	6.08080135629373	6.12847619107578	6.28965126964826	6.28109275474912	6.87914685574825	6.17501063590618	6.63739005450195	6.63464480931046	6.56477757133202	6.33798157429811	6.61479449790537	6.63790497952493	6.57236312859119
ACOT8	9.43146364854303	8.5762812219325	9.21206106351023	8.74482367273851	8.3543075840945	8.36227234925366	8.74602738620491	8.77352411685373	9.10700172889691	8.78863650206184	8.75891798915562	9.26255887626536	8.86875249053328	8.99887288293653	8.63274964046873	8.28709533648709	8.47346049589304	8.41845246611494	8.77207691912515	9.0015544039298	9.27632001037849	9.14380948870684	8.96632157962126	9.09235952112799	8.95422632745082	9.21112212637064	9.02240788570391	9.08626615142254	9.32391677306988	9.11622172923163	9.77770607417951	9.81591305295322	8.88335547229855	9.2011356363646	8.74084013253223	8.91428876887519	9.32093619805918	8.88716090010747	9.03125660846982	9.12813998717882
ABI1	9.06705869930006	9.06342680208894	9.12069680600949	8.85696060175154	8.59769578753267	8.71360262703063	8.65526224124776	9.09163997495056	10.0437955259969	8.8319395946688	8.55876973467649	9.16289052664007	9.30492252163001	9.24874348957196	9.02982620125019	8.36884995548403	8.51905097340841	8.88353206193838	9.52349640296665	9.08044199597467	9.8826628182452	8.80232824367827	8.78958142655232	9.41151175507838	8.50323504477949	9.00295943567549	9.59703865394823	9.34835234999979	9.94111755349527	9.11437205490706	9.70649340055723	10.2634823212183	9.88610874425689	8.55859541462703	8.99104446944732	8.65091306188712	9.50870949856675	9.33238768156152	9.30535638722353	9.87996674273842
GNPDA1	9.78627805219143	8.81425647433913	9.97317704002417	9.31038852588393	9.02291058676009	9.01347645789733	9.04718255175126	9.3702439670744	9.39542404480276	9.15055606068604	9.12422728851214	9.19036480568819	9.43829716111584	9.41771833906282	9.39199665905172	9.59033205647939	8.90631188628289	8.81047507415793	9.5878355218453	9.18626362539483	9.58100475643555	9.23174499850238	9.36484608577235	9.42790394316207	9.44658743817576	9.42770586077302	9.60520296798299	9.43812953012247	9.50733577958497	9.48987664332637	9.98585525515915	9.95037228898458	9.28619476552486	9.17052458230308	9.44761945714616	9.32926554244628	9.45703144134129	9.26276838853815	9.58538602057712	9.71452929105557
GS1-600G8.3	4.45595303596889	4.58845037318041	4.77548623643661	4.56269649996271	4.67237213812847	4.60523089883752	4.81761846341603	4.60778335409942	4.56485187756312	4.58071910988334	4.82759391931927	4.68777253443241	4.41413514149105	4.67125519469266	4.67047866500608	4.87381139671911	4.798297107633	4.6124838072446	4.52343874036499	4.63624185070349	4.35109957031629	4.80273023073861	4.73179300196759	4.50436840437219	4.7153745556452	4.56058604813437	4.46091501495241	4.592312879505	4.30414366918296	4.81390830872041	4.39005258801129	4.27760720490661	4.64311736356298	5.0909728753519	4.43039071746024	4.70705127584689	4.49485156912936	4.56519410508216	4.4696724581278	4.38580966262685
ZBTB33	5.78603553215473	5.80226710761058	5.6734086867716	5.83441189058489	5.77686677479793	5.71790110321446	5.78429936675158	5.79341818620693	5.81551339038722	5.88487308887881	5.57779663837599	5.7708202069992	5.90438663502227	5.53206383460435	5.79409894572052	5.81410980635988	5.65780523484629	5.88689954839781	5.97933652814927	5.79923975469287	5.67732233666728	5.88963761864987	5.82689162420633	5.8605407809392	6.05596266309576	5.83697923572734	5.83490943432684	5.82848760344063	5.72340639791114	5.81016296514094	5.60825853315002	5.93795509691499	5.94706767747561	5.76817442966848	5.63630060719142	5.90111172062003	5.85051390492946	5.81412652342306	5.86064466668401	5.91158498352359
CDH2	7.03971816599776	6.7176618703058	7.19891589279306	7.09564637349072	6.70703432033199	6.65465054951143	6.69046139812419	6.93699532924417	6.8465599782875	6.57570274679605	7.0082253531722	6.6615812216536	7.11380786771806	6.64484505445681	6.90008451365588	7.41744567138635	6.9108549780989	6.76525902530631	7.04946164973737	6.99569175723832	7.76462301160907	6.60028504473955	7.1410250218842	6.9057626707296	6.95511168874612	6.71365768770219	8.05854096000205	7.66039729559732	7.98129859577626	7.07693072542607	7.31590089596682	7.1180505777599	7.97311234385298	7.03968787451798	7.25136520739538	6.85963951522902	7.44704623301922	6.73852113222396	7.38405096831327	7.0016397476247
TANK	7.0210825141034	7.45960435885085	7.04544532096299	7.36201084765826	7.42598273056043	7.17731083832417	7.41344757409259	7.42005701710636	7.10032848724168	7.29400918162671	7.28319903863845	7.26704833958897	7.11751107814254	7.1849169062047	7.39811545263427	7.372255705232	7.53358603369878	7.43644154782558	7.36712245811005	7.4236279607183	7.33704391798736	7.40405207547535	7.19771747030925	7.50036942503662	7.26576475236611	7.44871069049724	7.36041703466175	7.42980002290139	7.40261067035639	7.26612992628812	7.20780917205615	6.90995892453137	7.50284847687854	7.27343396686601	7.34921796519918	7.53673336205946	7.40879494269964	7.19806036828643	7.22486175022093	7.18885735028073
EGOT	6.55577840537944	5.98999413289703	6.15605500036593	6.09315195560222	6.20067863929986	6.06645743440397	6.10296227505374	5.93105811676915	5.7508829782224	6.32288184101566	6.27154189119601	6.08231260764801	5.83857900618372	5.96713154751861	5.66880550833808	6.25536867015355	5.77160921335904	5.76614438229883	5.22255256086826	5.41477537580353	5.19275006577968	5.53872588273823	5.60711713287227	5.35991485710512	5.64882701535653	5.6980209408908	5.38818636446737	5.14061773975003	5.44376101778284	5.78812510575481	5.57004701143262	5.55599734393193	5.14836256038366	5.78581625198664	5.42414119594167	5.20393721978587	5.4016541179283	5.33330604093048	5.34426377654846	5.59258047154819
HGC6.3	5.3357854019841	5.62152975657463	5.52021235511493	5.47451276069992	5.37682303892426	5.43847025254699	5.33387025547197	5.30223767308023	5.32761443522341	5.4744893259225	5.39864961439202	5.31763456158859	5.40026173015445	5.2765271350256	5.40340111626052	5.51685602815009	5.32321908350341	5.47119640855714	5.39279350793579	5.284393453242	5.02679701836099	5.6914999612298	5.54346693085885	5.15655535008264	5.47335833401603	5.18502836316366	5.10885161374554	5.26658566804501	5.07186438600536	5.44154105562549	4.99365916633927	5.12711633721164	5.31009409361712	5.19933932755318	5.47361481379736	5.37596417413718	5.10055989533331	5.29054638782997	5.14429418833887	5.37942122949716
ACVR2B-AS1	5.61732023105805	5.15792074893992	5.40358483190522	5.03666779084855	5.20945064727933	5.78451933146327	5.56927907716136	5.68979339397111	4.86389387228323	5.72494330230818	5.3231388340175	4.93754879058876	4.99524813449235	5.45913606035063	5.16870121003303	5.74025564999906	5.5125431854794	5.40089746920612	5.27049828792645	5.07751024023723	4.28768916557218	4.81712671502094	5.48862569110806	4.44627641235762	4.90328115978793	5.21478470407391	4.72100591797315	4.56513692126851	4.93140663008589	5.26312243256315	4.66229605927286	4.98463516265838	5.13300680241032	5.49828764215142	4.70079728514491	4.92293388144384	5.05729013705704	5.10717590925803	5.44954630562707	4.92031036490937
KHDC1L	4.50978544881425	4.6590134079215	4.64710864163739	4.84608233118103	4.74268925071625	4.66509938903936	4.67732424848148	4.82830807185541	4.32297261012387	4.57005820508565	4.67037035300368	4.65816270982446	4.6037434694836	4.67195993197369	4.56327274603953	4.92456328301473	4.78841234449151	4.72318736295815	4.70806319932543	4.76206304751321	4.18928605088044	4.73069483293107	4.48888114181864	4.48155684465527	4.95133321085028	4.48500398445605	4.46048202997719	4.45800886925262	4.43485603830668	4.39146773888274	4.43709714671612	4.14479916504815	4.56794793369624	4.66761556694403	4.65442959872515	4.71024552583332	4.6035392862557	4.61013165226616	4.5279607120302	4.54665570644175
