	GSM1389613	GSM1389614	GSM1389615	GSM1389616	GSM1389617	GSM1389618	GSM1389619	GSM1389620
AKT3	7.12435500189478	7.24781357685534	7.29211569464594	7.29369300507515	7.16514917814612	7.97277124044704	8.23196040649212	7.81269938520759
MED6	6.75477453669364	6.71097396260514	6.60200008263736	6.63436348837993	6.98437087025977	6.60232539182252	5.93651811906209	6.43511494762058
NR2E3	5.97435805346176	5.88112271962044	5.93662277324885	5.82074044285272	5.90520470055603	5.39635183627401	5.21491717117315	5.42865679569888
NAALAD2	5.26418346610866	5.25885953703693	5.31370461107364	5.25265471758498	5.29957421609281	5.0063774817924	4.96992185582589	5.03573659045083
CDKN2B-AS1	5.56388269278982	5.54842977391886	5.57332536751761	5.52838467643929	5.51529642122916	5.56982427363313	5.53715923141121	5.53333386090116
NAALADL1	6.26345430108083	6.17334383360595	6.21047435171835	6.08575631724938	6.046913685653	6.21336200199099	6.05600377326481	6.10031972833059
ACOT8	7.12510366670872	7.19208599092331	7.0534962357243	7.19597998636792	6.95010662787696	8.34773108622985	8.59725494158051	8.08671439501145
ABI1	5.95053425202624	6.18618181131613	6.01264278933848	6.32075229184679	5.96165089187372	8.07412755846715	8.60212689365579	7.79101781731385
GNPDA1	7.30501459884174	7.52499669464898	7.3326799648281	7.66610628620114	7.46887077714906	8.75317628010557	9.29506571409202	8.60920019479263
GS1-600G8.3	5.49435433947019	5.43950055318385	5.53152486460873	5.40201720597787	5.50044777742894	4.90734348761898	4.76268417976906	4.97332205074308
ZBTB33	5.76017038318138	5.77237585625237	5.78508546078566	5.77666123624279	5.77310081376992	5.78560587151344	5.80359399852694	5.78182525918933
CDH2	5.9556268746158	6.03210343166719	5.74915059202785	6.13015534167699	6.04741442146214	6.55709140634454	6.85064688523684	6.57903864527152
TANK	8.22789867895027	8.07379261171518	8.24542484395174	8.21022743771397	8.3517196474663	7.44217841523571	7.38793327284307	7.57613717559468
EGOT	5.94959865674312	5.96038586207553	5.84139768215595	5.98457721189822	5.96852061480622	6.05257540427558	6.13810982175724	6.07611392182064
HGC6.3	5.91525306744442	5.869128412666	5.91267273232353	5.8400779272694	5.8968620136985	5.56011228161528	5.46476743349861	5.58790017239328
ACVR2B-AS1	6.09335192754452	5.99928799680605	6.01440982446782	5.94035685828717	5.99431503729645	5.65429792056908	5.49857189817918	5.6613888218814
KHDC1L	5.58697010354834	5.48945123957914	5.54618132560353	5.42729702885857	5.52077331669943	4.95267154397986	4.75986733273932	4.99696826611485
TOPORS-AS1	7.3802522293738	7.44590615718529	7.31099077350881	7.32939155333404	6.99739213709776	8.21717195821627	8.56570201956422	7.58277406536878
C1orf68	6.05690449805961	5.96367293026736	5.99081838622686	5.89574224285412	5.92222628672873	5.74439133307241	5.58439422134885	5.71049251116414
DPY19L1P1	5.85769822577113	5.765685908795	5.79854106572961	5.68391835755308	5.7148258686777	5.46089673921909	5.28087684342759	5.4469496427476
ZNF37BP	6.70934266843295	6.5357900961244	6.63547463906712	6.39363031549891	6.46588898274135	5.99077600393445	5.68185635698927	5.93303319499622
LOC100129973	5.75983242593859	5.51085800585247	5.51646146478703	5.33378566104726	5.39795599729011	4.93472394490894	4.5164567392516	4.87598087410987
LOC100130331	5.91724524538653	5.8230963256776	5.91551650685442	5.76142067868943	5.86171205666516	5.27175072060688	5.07076096654725	5.30962167930527
PP14571	7.08984211959198	6.85644067222718	7.044707807523	6.67014947260721	6.85889364027769	5.7668924494046	5.3239717304185	5.7565315148849
LOC100131532	6.10104740954794	6.05200598225375	6.08164761719342	6.01816144679619	6.02791131013505	5.97232009456595	5.89136091172296	5.93601995757076
ARMCX4	6.13580273954312	6.07418332959057	6.17788193963582	6.02378105673757	6.08741710969091	5.69503688905019	5.54717893576656	5.70491649120967
CADM3-AS1	6.07085939422812	6.01644372322765	6.06283064424596	5.9749824168151	5.987330982238	5.91461916266362	5.81454373152716	5.87355849907646
CLUHP3	7.01572883591428	6.96740073988656	6.95590126259846	6.90791081171019	6.87341097238151	7.06787279780903	7.05051064619563	6.96032090663867
KRTAP4-7	5.37690063465057	5.25159087490986	5.37150642960693	5.17195079718005	5.31407950335431	4.470158118661	4.19838680017122	4.53553458177619
CD24	10.7482725527086	10.997483011779	9.83958040049176	10.6395000929234	10.3454779604451	10.3356528674365	10.0032172054391	11.22894126278
NDUFB2-AS1	6.34854790837811	6.14257197147649	6.1224305384623	5.98910591016544	6.00728633866106	5.8101900561713	5.48849300135354	5.72488489729311
HDAC6	7.23967902806051	7.28723348126918	7.20927759534809	7.27968416683217	7.13809871162384	7.99117369487708	8.17422980183601	7.80954209383589
HDAC5	7.0512104256621	6.95654429470544	6.92652075110856	6.84261720118266	6.70782146954714	7.40729467063011	7.31848413768036	7.17208651908724
PDCD6IP	8.90740692818051	9.03955876222834	8.97135421071084	9.0478221964012	8.92868042460901	9.76571629495462	9.97485434839299	9.58556874704993
PDCD6	9.02062445134939	9.17635231792442	9.09262902947429	9.18263963290049	9.08015579423471	9.895801503403	10.1190505589088	9.72170502325722
BCL2L10	6.36768635760542	6.24203472817265	6.31751164863886	6.15932209273418	6.26478826986367	5.62897913602951	5.40320334117472	5.656045130569
BCL2L11	6.29095013925032	6.20978081648489	6.30790713090041	6.17799341753435	6.32585125857406	5.50264687680788	5.34769639322628	5.59110828983638
SH2B3	6.96291230359292	7.48283242584699	7.41412197233872	7.48379394956237	7.65831377913478	8.33103818048432	8.96402996239447	8.34728647154937
CDH3	6.92047547475921	6.88856336765203	6.71383103347705	6.88670282466628	6.88733459804642	6.93375463384119	7.02868144754731	6.92161719814469
GNE	8.97507568543957	9.13899993241252	8.96933056293863	8.90646883974298	8.82293031725347	9.07326023124676	8.85114916959657	9.26481446603258
HCN4	5.93253857417718	5.84213509866126	5.9116122666075	5.7869709714314	5.87391307509451	5.36868856232143	5.19001198935851	5.3972153087597
INSL5	5.95927149085672	5.85958831199375	5.96054378143866	5.7896456325536	5.86833910286265	5.40525437489948	5.19519605549093	5.40674023053315
FRAT1	6.68311062313589	6.7123157172052	6.71041638653671	6.7212978967776	6.66641983922305	6.99215277473338	7.09189990231314	6.91540647172229
TROAP	6.32233752435932	6.34004320829009	6.29756675851325	6.32592010093562	6.3304653899877	6.25521688843801	6.2893969395606	6.23474874199731
MED16	6.44080881874028	6.46822442162338	6.33355104417923	6.46946973471575	6.32377921328113	7.10994216787989	7.24650811038573	6.98630132341276
PIGK	5.94981671900514	6.22618858626513	5.95748834086276	6.35970375868313	5.86245758651897	8.69971319659805	9.33794697123904	8.30788560483818
CMC4	8.01166643878479	8.11657371479275	7.98661000011471	8.12212469507143	7.92505153373365	9.16194263121625	9.42648705514933	8.90499801101728
LOC100287387	5.48115012894157	5.37171660056256	5.46941760286035	5.31159606898423	5.46448594489244	4.57157075960815	4.33712254071843	4.66812092119202
TIMM23	6.03414974562776	6.2231391063835	5.95068455575783	6.35324285729146	6.07530760473137	7.69862308373869	8.18466739451615	7.53462325362201
ERVMER34-1	6.21360545042599	6.2484082886695	6.23266341562498	6.22557380756051	6.04162900440426	7.05308169010008	7.13488802766816	6.84476332736064
MCF2L-AS1	6.30830767677568	6.31348928785843	6.3541128923115	6.32714382597352	6.36538401054512	6.17071059082661	6.18763016507972	6.19257337399805
ZNF783	7.0303283436155	6.99250054917997	6.95145612245628	6.94502725190633	6.88546759333381	7.23794098366839	7.26095861936203	7.11137001538328
ZNF587B	7.63071205907743	7.56219280431806	7.58942762837432	7.4813981445597	7.64699977188003	6.75652083641087	6.59560450080374	6.82004640711768
CDH4	6.06677520972074	5.95615477506787	5.94975181638711	5.88309384607521	5.92347353685871	5.65094986934306	5.47667691257002	5.63969334199585
