ID	Symbol	SPOT_ID	ENTREZ_GENE_ID
1000_at	CDH2	cadherin 2	1000
10000_at	AKT3	AKT serine/threonine kinase 3	10000
100009676_at	ZBTB11-AS1	ZBTB11 antisense RNA 1	100009676
10001_at	MED6	mediator complex subunit 6	10001
10004_at	NAALADL1	N-acetylated alpha-linked acidic dipeptidase-like 1	10004
10005_at	ACOT8	acyl-CoA thioesterase 8	10005
10006_at	ABI1	abl interactor 1	10006
10007_at	GNPDA1	glucosamine-6-phosphate deaminase 1	10007
10008_at	KCNE3	potassium voltage-gated channel subfamily E regulatory subunit 3	10008
10009_at	ZBTB33	zinc finger and BTB domain containing 33	10009
100093630_at	SNHG8	small nucleolar RNA host gene 8	100093630
10010_at	TANK	TRAF family member associated NFKB activator	10010
100101467_at	ZSCAN30	zinc finger and SCAN domain containing 30	100101467
10011_at	SRA1	steroid receptor RNA activator 1	10011
100113407_at	TMEM170B	transmembrane protein 170B	100113407
100125288_at	ZGLP1	"zinc finger, GATA-like protein 1"	100125288
100127888_at	SLCO4A1-AS1	SLCO4A1 antisense RNA 1	100127888
100127983_at	C8orf88	chromosome 8 open reading frame 88	100127983
100128071_at	FAM229A	family with sequence similarity 229 member A	100128071
100128252_at	ZNF667-AS1	ZNF667 antisense RNA 1 (head to head)	100128252
100128325_at	LOC100128325	uncharacterized LOC100128325	100128325
100128653_at	LOC100128653	uncharacterized LOC100128653	100128653
100128731_at	OST4	"oligosaccharyltransferase complex subunit 4, non-catalytic"	100128731
100128750_at	RBPMS-AS1	RBPMS antisense RNA 1	100128750
100128782_at	LINC00476	long intergenic non-protein coding RNA 476	100128782
100128822_at	LINC01003	long intergenic non-protein coding RNA 1003	100128822
100128881_at	VPS9D1-AS1	VPS9D1 antisense RNA 1	100128881
100128927_at	ZBTB42	zinc finger and BTB domain containing 42	100128927
100128998_at	C20orf181	chromosome 20 open reading frame 181	100128998
100129034_at	LOC100129034	uncharacterized LOC100129034	100129034
100129250_at	TOPORS-AS1	TOPORS antisense RNA 1	100129250
100129361_at	SMIM10L1	small integral membrane protein 10 like 1	100129361
100129387_at	GABPB1-AS1	GABPB1 antisense RNA 1	100129387
100129482_at	ZNF37BP	"zinc finger protein 37B, pseudogene"	100129482
100129503_at	LOC100129503	uncharacterized LOC100129503	100129503
100129550_at	LOC100129550	uncharacterized LOC100129550	100129550
100129617_at	LOC100129617	uncharacterized LOC100129617	100129617
100129637_at	LOC100129637	uncharacterized LOC100129637	100129637
100129722_at	C9orf173-AS1	C9orf173 antisense RNA 1	100129722
100129794_at	SLC25A21-AS1	SLC25A21 antisense RNA 1	100129794
100129827_at	MRVI1-AS1	MRVI1 antisense RNA 1	100129827
100129845_at	PCOLCE-AS1	PCOLCE antisense RNA 1	100129845
100129935_at	LOC100129935	"lectin, galactoside binding soluble 14 pseudogene"	100129935
10013_at	HDAC6	histone deacetylase 6	10013
100130100_at	LOC100130100	Ig kappa chain V-I region Walker-like	100130100
100130519_at	TMEM221	transmembrane protein 221	100130519
100130700_at	TP53TG3HP	"TP53 target 3 family member H, pseudogene"	100130700
100130733_at	LRRC70	leucine rich repeat containing 70	100130733
100130872_at	LOC100130872	uncharacterized LOC100130872	100130872
100130958_at	SYCE1L	synaptonemal complex central element protein 1 like	100130958
100130987_at	LOC100130987	uncharacterized LOC100130987	100130987
100131017_at	ZNF316	zinc finger protein 316	100131017
100131067_at	CKMT2-AS1	CKMT2 antisense RNA 1	100131067
100131096_at	TNRC6C-AS1	TNRC6C antisense RNA 1	100131096
100131187_at	TSTD1	thiosulfate sulfurtransferase like domain containing 1	100131187
100131211_at	NEMP2	nuclear envelope integral membrane protein 2	100131211
100131213_at	ZNF503-AS2	ZNF503 antisense RNA 2	100131213
100131564_at	CCDC18-AS1	CCDC18 antisense RNA 1	100131564
100131801_at	PET100	PET100 homolog	100131801
100131814_at	LINC00271	long intergenic non-protein coding RNA 271	100131814
100132074_at	FOXO6	forkhead box O6	100132074
100132464_at	FAM99B	family with sequence similarity 99 member B (non-protein coding)	100132464
100132707_at	PAXIP1-AS2	PAXIP1 antisense RNA 2	100132707
100132815_at	IPO5P1	importin 5 pseudogene 1	100132815
100133311_at	HOXA-AS3	HOXA cluster antisense RNA 3	100133311
100133461_at	LOC100133461	uncharacterized LOC100133461	100133461
100133612_at	LINC01134	long intergenic non-protein coding RNA 1134	100133612
100133941_at	CD24	CD24 molecule	100133941
100134229_at	JHDM1D-AS1	JHDM1D antisense RNA 1 (head to head)	100134229
100137047_at	JMJD7	jumonji domain containing 7	100137047
10014_at	HDAC5	histone deacetylase 5	10014
100144603_at	CHKB-AS1	CHKB antisense RNA 1 (head to head)	100144603
100144604_at	LINC00930	long intergenic non-protein coding RNA 930	100144604
10015_at	PDCD6IP	programmed cell death 6 interacting protein	10015
10016_at	PDCD6	programmed cell death 6	10016
100169890_at	PEG3-AS1	PEG3 antisense RNA 1	100169890
100170765_at	ERICH4	glutamate rich 4	100170765
10018_at	BCL2L11	BCL2 like 11	10018
100188893_at	TOMM6	translocase of outer mitochondrial membrane 6	100188893
10019_at	SH2B3	SH2B adaptor protein 3	10019
100190939_at	TPT1-AS1	TPT1 antisense RNA 1	100190939
10020_at	GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	10020
100216545_at	KMT2E-AS1	KMT2E antisense RNA 1 (head to head)	100216545
10023_at	FRAT1	frequently rearranged in advanced T-cell lymphomas 1	10023
10024_at	TROAP	trophinin associated protein	10024
10025_at	MED16	mediator complex subunit 16	10025
10026_at	PIGK	phosphatidylinositol glycan anchor biosynthesis class K	10026
100271722_at	LINC00899	long intergenic non-protein coding RNA 899	100271722
100272147_at	CMC4	C-X9-C motif containing 4	100272147
100286938_at	VPS13A-AS1	VPS13A antisense RNA 1	100286938
100287166_at	LOC100287166	uncharacterized LOC100287166	100287166
100287616_at	LOXL1-AS1	LOXL1 antisense RNA 1	100287616
100287896_at	LOC100287896	uncharacterized LOC100287896	100287896
100287932_at	TIMM23	translocase of inner mitochondrial membrane 23	100287932
100288152_at	LOC100288152	uncharacterized LOC100288152	100288152
100288198_at	HMGN3-AS1	HMGN3 antisense RNA 1	100288198
100288413_at	ERVMER34-1	endogenous retrovirus group MER34 member 1	100288413
100288432_at	IL10RB-AS1	IL10RB antisense RNA 1 (head to head)	100288432
100288730_at	PAN3-AS1	PAN3 antisense RNA 1	100288730
100288797_at	TMEM239	transmembrane protein 239	100288797
100288911_at	LOC100288911	uncharacterized LOC100288911	100288911
100289019_at	SLC25A25-AS1	SLC25A25 antisense RNA 1	100289019
100289097_at	FRG1CP	"FSHD region gene 1 family member C, pseudogene"	100289097
100289098_at	GS1-124K5.4	uncharacterized LOC100289098	100289098
100289187_at	GS1-259H13.2	transmembrane protein 225-like	100289187
100289230_at	LOC100289230	uncharacterized LOC100289230	100289230
100289341_at	MAN1B1-AS1	MAN1B1 antisense RNA 1 (head to head)	100289341
100289361_at	LOC100289361	uncharacterized LOC100289361	100289361
100289410_at	MCF2L-AS1	MCF2L antisense RNA 1	100289410
100289509_at	KCNIP2-AS1	KCNIP2 antisense RNA 1	100289509
100289635_at	ZNF605	zinc finger protein 605	100289635
100289678_at	ZNF783	zinc finger family member 783	100289678
100293516_at	ZNF587B	zinc finger protein 587B	100293516
1003_at	CDH5	cadherin 5	1003
100303755_at	PET117	PET117 homolog	100303755
100306951_at	PITPNA-AS1	PITPNA antisense RNA 1	100306951
100316904_at	SAP25	Sin3A associated protein 25	100316904
10036_at	CHAF1A	chromatin assembly factor 1 subunit A	10036
100379661_at	GRIK1-AS2	GRIK1 antisense RNA 2	100379661
10038_at	PARP2	poly(ADP-ribose) polymerase 2	10038
100381270_at	ZBED6	zinc finger BED-type containing 6	100381270
10039_at	PARP3	poly(ADP-ribose) polymerase family member 3	10039
1004_at	CDH6	cadherin 6	1004
10040_at	TOM1L1	target of myb1 like 1 membrane trafficking protein	10040
10042_at	HMGXB4	HMG-box containing 4	10042
10043_at	TOM1	target of myb1 membrane trafficking protein	10043
10044_at	SH2D3C	SH2 domain containing 3C	10044
10046_at	MAMLD1	mastermind like domain containing 1	10046
10048_at	RANBP9	RAN binding protein 9	10048
10049_at	DNAJB6	DnaJ heat shock protein family (Hsp40) member B6	10049
100499177_at	THAP9-AS1	THAP9 antisense RNA 1	100499177
100499466_at	LINC00674	long intergenic non-protein coding RNA 674	100499466
100499489_at	LOC100499489	uncharacterized LOC100499489	100499489
100505478_at	LOC100505478	uncharacterized LOC100505478	100505478
100505495_at	PCAT19	prostate cancer associated transcript 19 (non-protein coding)	100505495
100505498_at	LOC100505498	uncharacterized LOC100505498	100505498
100505555_at	LOC100505555	uncharacterized LOC100505555	100505555
100505570_at	LOC100505570	uncharacterized LOC100505570	100505570
100505573_at	INAFM2	InaF motif containing 2	100505573
100505616_at	SNHG21	small nucleolar RNA host gene 21	100505616
100505624_at	GTF3C2-AS1	GTF3C2 antisense RNA 1	100505624
100505641_at	FGD5-AS1	FGD5 antisense RNA 1	100505641
100505664_at	LOC100505664	uncharacterized LOC100505664	100505664
100505687_at	LINC00888	long intergenic non-protein coding RNA 888	100505687
