	sample	disease	tissue	dataset
1	GSM2810793	Control	Kidney	GSE104948
2	GSM2810794	Control	Kidney	GSE104948
3	GSM2810795	Control	Kidney	GSE104948
4	GSM2810796	Control	Kidney	GSE104948
5	GSM2810797	Control	Kidney	GSE104948
6	GSM2810798	Control	Kidney	GSE104948
7	GSM2810799	Control	Kidney	GSE104948
8	GSM2810800	Control	Kidney	GSE104948
9	GSM2810801	Control	Kidney	GSE104948
10	GSM2810802	Control	Kidney	GSE104948
11	GSM2810803	Control	Kidney	GSE104948
12	GSM2810804	Control	Kidney	GSE104948
13	GSM2810805	Control	Kidney	GSE104948
14	GSM2810806	Control	Kidney	GSE104948
15	GSM2810807	Control	Kidney	GSE104948
16	GSM2810808	Control	Kidney	GSE104948
17	GSM2810809	Control	Kidney	GSE104948
18	GSM2810810	Control	Kidney	GSE104948
19	GSM2810816	ANCA	Kidney	GSE104948
20	GSM2810817	ANCA	Kidney	GSE104948
21	GSM2810818	ANCA	Kidney	GSE104948
22	GSM2810819	ANCA	Kidney	GSE104948
23	GSM2810820	ANCA	Kidney	GSE104948
24	GSM2810821	ANCA	Kidney	GSE104948
25	GSM2810822	ANCA	Kidney	GSE104948
26	GSM2810823	ANCA	Kidney	GSE104948
27	GSM2810824	ANCA	Kidney	GSE104948
28	GSM2810825	ANCA	Kidney	GSE104948
29	GSM2810826	ANCA	Kidney	GSE104948
30	GSM2810827	ANCA	Kidney	GSE104948
31	GSM2810828	ANCA	Kidney	GSE104948
32	GSM2810829	ANCA	Kidney	GSE104948
33	GSM2810830	ANCA	Kidney	GSE104948
34	GSM2810831	ANCA	Kidney	GSE104948
35	GSM2810832	ANCA	Kidney	GSE104948
36	GSM2810833	ANCA	Kidney	GSE104948
37	GSM2810834	ANCA	Kidney	GSE104948
38	GSM2810835	ANCA	Kidney	GSE104948
39	GSM2810836	ANCA	Kidney	GSE104948
40	GSM2810837	ANCA	Kidney	GSE104948
